pas52_id|dxcc_code|code|subdivision
1|52|37|Harju County (Harjumaa)
2|52|39|Hiiuma County (Hiiumaa)
3|52|44|Ida-Viru County (Ida-Virumaa)
4|52|51|Jarva County (Jarvamaa)
5|52|49|Joge County (Jogevamaa)
6|52|57|Laane County (Laanemaa)
7|52|59|Laane-Viru County (Laane-Virumaa)
8|52|67|Parrnu County (Parnumaa)
9|52|65|Polva County (Polvamaa)
10|52|70|Rapla County (Raplamaa)
11|52|74|Saare County (Saaremaa)
12|52|78|Tartu County (Tartumaa)
13|52|82|Valga County (Valgamaa)
14|52|84|Viljandi County (Viljandimaa)
15|52|86|Voru County (Vorumaa)
